Model,Best Params,MAE,MSE,RMSE,R2,Selected Features,Target Variable,Target Transformation
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20}",34.7920212424048,29588.91531780228,172.01428812108102,0.7267259016265872,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20}",34.7920212424048,29588.91531780228,172.01428812108102,0.7267259016265872,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20}",34.7920212424048,29588.91531780228,172.01428812108102,0.7267259016265872,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",61.96787236540125,13616.94554734846,116.69166871438792,0.7433731177641288,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RHQ160', 'RIDEXPRG']",LBXTST,
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",61.92956712064067,13599.084939744116,116.6151145424302,0.7437097213018609,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RIDEXPRG', 'RHQ160', 'RHQ131']",LBXTST,
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",61.92956712064067,13599.084939744116,116.6151145424302,0.7437097213018609,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RIDEXPRG', 'RHQ160', 'RHQ131']",LBXTST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",61.87272496536046,13587.14814857339,116.5639230146849,0.7439346837570159,"['RIDAGEMN', 'RIDEXPRG', 'RIAGENDR', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RHQ131', 'RHQ160']",LBXTST,
RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 200}",40.88206782418356,6252.302276771547,79.07150104033404,0.8821682267506344,"['LBXEST', 'RIDEXPRG', 'RIAGENDR', 'LBXSHBG', 'RIDAGEMN', 'RIDAGEYR', 'DMDHRAGE', 'SEQN', 'LBDBPBSI', 'LBXBPB', 'SDMVSTRA', 'LBXBMN', 'INDFMPIR', 'LBDBCDSI', 'LBDBMNSI', 'LBXBSE', 'LBXBCD', 'WTMEC2YR', 'WTINT2YR', 'WTSH2YR', 'LBDBSESI', 'DMDYRSUS', 'LBDTHGSI', 'LBXTHG', 'RIDEXAGM', 'INDFMIN2', 'INDHHIN2', 'COMBINED_EDUC', 'LBDESTLC', 'DMDFMSIZ', 'DMDHHSIZ', 'DMDHREDU', 'DMDMARTL', 'DMDHRMAR', 'RIDRETH1', 'RIDRETH3', 'DMDHSEDU', 'DMDHRBR4', 'DMDHHSZB', 'DMDEDUC2', 'AIALANGA', 'RIDEXMON', 'DMDHHSZE', 'DMDHHSZA', 'SDMVPSU', 'DMQADFC', 'DMQMILIZ', 'DMDEDUC3', 'DMDHRGND', 'DMDCITZN', 'DMDBORN4', 'SIALANG', 'MIALANG', 'FIALANG', 'LBDBCDLC', 'LBDTHGLC', 'SIAPROXY', 'MIAINTRP', 'FIAINTRP', 'MIAPROXY']",LBXTST,
RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 200}",40.88206782418356,6252.302276771547,79.07150104033404,0.8821682267506344,"['LBXEST', 'RIDEXPRG', 'RIAGENDR', 'LBXSHBG', 'RIDAGEMN', 'RIDAGEYR', 'DMDHRAGE', 'SEQN', 'LBDBPBSI', 'LBXBPB', 'SDMVSTRA', 'LBXBMN', 'INDFMPIR', 'LBDBCDSI', 'LBDBMNSI', 'LBXBSE', 'LBXBCD', 'WTMEC2YR', 'WTINT2YR', 'WTSH2YR', 'LBDBSESI', 'DMDYRSUS', 'LBDTHGSI', 'LBXTHG', 'RIDEXAGM', 'INDFMIN2', 'INDHHIN2', 'COMBINED_EDUC', 'LBDESTLC', 'DMDFMSIZ', 'DMDHHSIZ', 'DMDHREDU', 'DMDMARTL', 'DMDHRMAR', 'RIDRETH1', 'RIDRETH3', 'DMDHSEDU', 'DMDHRBR4', 'DMDHHSZB', 'DMDEDUC2', 'AIALANGA', 'RIDEXMON', 'DMDHHSZE', 'DMDHHSZA', 'SDMVPSU', 'DMQADFC', 'DMQMILIZ', 'DMDEDUC3', 'DMDHRGND', 'DMDCITZN', 'DMDBORN4', 'SIALANG', 'MIALANG', 'FIALANG', 'LBDBCDLC', 'LBDTHGLC', 'SIAPROXY', 'MIAINTRP', 'FIAINTRP', 'MIAPROXY']",LBXTST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",61.97726298968775,13627.794382472955,116.73814450501152,0.743168659082539,"['RIDAGEMN', 'RIDEXPRG', 'RIAGENDR', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RHQ131', 'RHQ160']",LBXTST,
